east_phi,west_phi,east_r,west_r
0.07854,5.81196,7.88500,7.88501
0.23562,5.96904,7.88500,7.88500
0.39270,6.12612,7.88500,7.88500
0.54978,6.28320,7.88500,7.88500
0.70686,0.15708,7.88500,7.88500
0.86394,0.31416,7.88500,7.88500
1.02102,0.47124,7.88500,7.88501
1.17810,0.62832,7.88500,7.88500
1.33518,0.78540,7.88500,7.88500
1.49226,0.94248,7.88500,7.88500
1.64924,1.09956,7.88500,7.88501
1.80632,1.25664,7.88500,7.88500
1.96340,1.41372,7.88500,7.88500
2.12048,1.57080,7.88500,7.88500
2.27756,1.72778,7.88500,7.88500
2.43464,1.88486,7.88500,7.88500
2.59172,2.04194,7.88500,7.88501
2.74880,2.19902,7.88500,7.88500
2.90588,2.35610,7.88500,7.88500
3.06296,2.51318,7.88500,7.88500
3.22004,2.67026,7.88500,7.88501
3.37712,2.82734,7.88500,7.88500
3.53420,2.98442,7.88500,7.88500
3.69128,3.14150,7.88500,7.88500
3.84836,3.29858,7.88500,7.88500
4.00544,3.45566,7.88500,7.88500
4.16252,3.61274,7.88500,7.88501
4.31960,3.76982,7.88500,7.88500
4.47668,3.92690,7.88500,7.88500
4.63376,4.08398,7.88500,7.88500
4.79094,4.24106,7.88500,7.88501
4.94802,4.39814,7.88500,7.88500
5.10510,4.55522,7.88500,7.88500
5.26218,4.71230,7.88500,7.88500
5.41926,4.86948,7.88500,7.88500
5.57634,5.02656,7.88500,7.88500
5.73342,5.18364,7.88500,7.88501
5.89050,5.34072,7.88500,7.88500
6.04758,5.49780,7.88500,7.88500
6.20466,5.65488,7.88500,7.88500
6.28320,5.78340,9.07000,9.07000
0.14280,5.92620,9.07000,9.07000
0.28560,6.06900,9.07000,9.07000
0.42840,6.21180,9.07000,9.07000
0.57120,0.07140,9.07000,9.07000
0.71400,0.21420,9.07000,9.07000
0.85680,0.35700,9.07000,9.07000
0.99960,0.49980,9.07000,9.07000
1.14240,0.64260,9.07000,9.07000
1.28520,0.78540,9.07000,9.07000
1.42800,0.92820,9.07000,9.07000
1.57080,1.07100,9.07000,9.07000
1.71350,1.21380,9.07000,9.07000
1.85630,1.35660,9.07000,9.07000
1.99910,1.49940,9.07000,9.07000
2.14190,1.64210,9.07000,9.07000
2.28470,1.78490,9.07000,9.07000
2.42750,1.92770,9.07000,9.07000
2.57030,2.07050,9.07000,9.07000
2.71310,2.21330,9.07000,9.07000
2.85590,2.35610,9.07000,9.07000
2.99870,2.49890,9.07000,9.07000
3.14150,2.64170,9.07000,9.07000
3.28430,2.78450,9.07000,9.07000
3.42710,2.92730,9.07000,9.07000
3.56990,3.07010,9.07000,9.07000
3.71270,3.21290,9.07000,9.07000
3.85550,3.35570,9.07000,9.07000
3.99830,3.49850,9.07000,9.07000
4.14110,3.64130,9.07000,9.07000
4.28390,3.78410,9.07000,9.07000
4.42670,3.92690,9.07000,9.07000
4.56950,4.06970,9.07000,9.07000
4.71230,4.21250,9.07000,9.07000
4.85520,4.35530,9.07000,9.07000
4.99800,4.49810,9.07000,9.07000
5.14080,4.64090,9.07000,9.07000
5.28360,4.78380,9.07000,9.07000
5.42640,4.92660,9.07000,9.07000
5.56920,5.06940,9.07000,9.07000
5.71200,5.21220,9.07000,9.07000
5.85480,5.35500,9.07000,9.07000
5.99760,5.49780,9.07000,9.07000
6.14040,5.64060,9.07000,9.07000
0.06545,5.89050,10.29003,10.29000
0.19635,6.02140,10.29002,10.29000
0.32725,6.15230,10.29000,10.29003
0.45815,6.28320,10.29000,10.29000
0.58905,0.13090,10.29000,10.29003
0.71995,0.26180,10.29000,10.29000
0.85085,0.39270,10.29000,10.29000
0.98175,0.52360,10.29000,10.29000
1.11265,0.65450,10.29000,10.29001
1.24355,0.78540,10.29000,10.29000
1.37445,0.91630,10.29002,10.29001
1.50535,1.04720,10.29003,10.29000
1.63615,1.17810,10.29003,10.29000
1.76705,1.30900,10.29002,10.29000
1.89795,1.43990,10.29000,10.29003
2.02885,1.57080,10.29000,10.29000
2.15975,1.70160,10.29000,10.29003
2.29065,1.83250,10.29000,10.29000
2.42155,1.96340,10.29000,10.29000
2.55245,2.09430,10.29000,10.29000
2.68335,2.22520,10.29000,10.29001
2.81425,2.35610,10.29000,10.29000
2.94515,2.48700,10.29002,10.29001
3.07605,2.61790,10.29003,10.29000
3.20695,2.74880,10.29003,10.29000
3.33785,2.87970,10.29002,10.29000
3.46875,3.01060,10.29000,10.29003
3.59965,3.14150,10.29000,10.29000
3.73055,3.27240,10.29000,10.29003
3.86145,3.40330,10.29000,10.29000
3.99235,3.53420,10.29000,10.29000
4.12325,3.66510,10.29000,10.29000
4.25415,3.79600,10.29000,10.29001
4.38505,3.92690,10.29000,10.29000
4.51595,4.05780,10.29002,10.29001
4.64685,4.18870,10.29003,10.29000
4.77785,4.31960,10.29003,10.29000
4.90875,4.45050,10.29002,10.29000
5.03965,4.58140,10.29000,10.29003
5.17055,4.71230,10.29000,10.29000
5.30145,4.84330,10.29000,10.29003
5.43235,4.97420,10.29000,10.29000
5.56325,5.10510,10.29000,10.29000
5.69415,5.23600,10.29000,10.29000
5.82505,5.36690,10.29000,10.29001
5.95595,5.49780,10.29000,10.29000
6.08685,5.62870,10.29002,10.29001
6.21775,5.75960,10.29003,10.29000
6.28320,5.89050,11.52500,11.52499
0.11220,6.00270,11.52497,11.52503
0.22440,6.11490,11.52496,11.52504
0.33660,6.22710,11.52504,11.52503
0.44880,0.05610,11.52503,11.52503
0.56100,0.16830,11.52500,11.52504
0.67320,0.28050,11.52500,11.52503
0.78540,0.39270,11.52501,11.52499
0.89760,0.50490,11.52500,11.52496
1.00980,0.61710,11.52500,11.52500
1.12200,0.72930,11.52503,11.52500
1.23420,0.84150,11.52504,11.52500
1.34640,0.95370,11.52496,11.52500
1.45860,1.06590,11.52497,11.52496
1.57080,1.17810,11.52500,11.52499
1.68290,1.29030,11.52497,11.52503
1.79510,1.40250,11.52496,11.52504
1.90730,1.51470,11.52504,11.52503
2.01950,1.62680,11.52503,11.52503
2.13170,1.73900,11.52500,11.52504
2.24390,1.85120,11.52500,11.52503
2.35610,1.96340,11.52501,11.52499
2.46830,2.07560,11.52500,11.52496
2.58050,2.18780,11.52500,11.52500
2.69270,2.30000,11.52503,11.52500
2.80490,2.41220,11.52504,11.52500
2.91710,2.52440,11.52496,11.52500
3.02930,2.63660,11.52497,11.52496
3.14150,2.74880,11.52500,11.52499
3.25370,2.86100,11.52497,11.52503
3.36590,2.97320,11.52496,11.52504
3.47810,3.08540,11.52504,11.52503
3.59030,3.19760,11.52503,11.52503
3.70250,3.30980,11.52500,11.52504
3.81470,3.42200,11.52500,11.52503
3.92690,3.53420,11.52501,11.52499
4.03910,3.64640,11.52500,11.52496
4.15130,3.75860,11.52500,11.52500
4.26350,3.87080,11.52503,11.52500
4.37570,3.98300,11.52504,11.52500
4.48790,4.09520,11.52496,11.52500
4.60010,4.20740,11.52497,11.52496
4.71230,4.31960,11.52500,11.52499
4.82460,4.43180,11.52497,11.52503
4.93680,4.54400,11.52496,11.52504
5.04900,4.65620,11.52504,11.52503
