# gid, above neighbor on the east end, above neighbor on the west end
0, 41, 40
1, 42, 41
2, 43, 42
3, 44, 43
4, 45, 45
5, 46, 46
6, 47, 47
7, 48, 48
8, 49, 49
9, 50, 50
10, 52, 51
11, 53, 52
12, 54, 53
13, 55, 54
14, 56, 56
15, 57, 57
16, 58, 58
17, 59, 59
18, 60, 60
19, 61, 61
20, 63, 62
21, 64, 63
22, 65, 64
23, 66, 65
24, 67, 67
25, 68, 68
26, 69, 69
27, 70, 70
28, 71, 71
29, 72, 72
30, 74, 73
31, 75, 74
32, 76, 75
33, 77, 76
34, 78, 78
35, 79, 79
36, 80, 80
37, 81, 81
38, 82, 82
39, 83, 83
40, 131, 131
41, 85, 84
42, 86, 85
43, 87, 86
44, 88, 88
45, 89, 89
46, 90, 90
47, 91, 91
48, 92, 92
49, 93, 93
50, 94, 94
51, 95, 95
52, 97, 96
53, 98, 97
54, 99, 98
55, 100, 100
56, 101, 101
57, 102, 102
58, 103, 103
59, 104, 104
60, 105, 105
61, 106, 106
62, 107, 107
63, 109, 108
64, 110, 109
65, 111, 110
66, 112, 112
67, 113, 113
68, 114, 114
69, 115, 115
70, 116, 116
71, 117, 117
72, 118, 118
73, 119, 119
74, 121, 120
75, 122, 121
76, 123, 122
77, 124, 124
78, 125, 125
79, 126, 126
80, 127, 127
81, 128, 128
82, 129, 129
83, 130, 130
84, 133, 132
85, 134, 133
86, 135, 134
87, 136, 135
88, 137, 137
89, 138, 138
90, 140, 139
91, 141, 140
92, 142, 141
93, 143, 142
94, 144, 144
95, 145, 145
96, 147, 146
97, 148, 147
98, 149, 148
99, 150, 149
100, 151, 151
101, 152, 152
102, 154, 153
103, 155, 154
104, 156, 155
105, 157, 156
106, 158, 158
107, 159, 159
108, 161, 160
109, 162, 161
110, 163, 162
111, 164, 163
112, 165, 165
113, 166, 166
114, 168, 167
115, 169, 168
116, 170, 169
117, 171, 170
118, 172, 172
119, 173, 173
120, 175, 174
121, 176, 175
122, 177, 176
123, 178, 177
124, 179, 179
125, 180, 180
126, 182, 181
127, 183, 182
128, 184, 183
129, 185, 184
130, 186, 186
131, 187, 187
132, 251, 243
133, 189, 244
134, 190, 245
135, 191, 246
136, 192, 248
137, 193, 249
138, 194, 250
139, 195, 251
140, 197, 188
141, 198, 189
142, 199, 190
143, 200, 192
144, 201, 193
145, 202, 194
146, 203, 195
147, 205, 196
148, 206, 197
149, 207, 198
150, 208, 200
151, 209, 201
152, 210, 202
153, 211, 203
154, 213, 204
155, 214, 205
156, 215, 206
157, 216, 208
158, 217, 209
159, 218, 210
160, 219, 211
161, 221, 212
162, 222, 213
163, 223, 214
164, 224, 216
165, 225, 217
166, 226, 218
167, 227, 219
168, 229, 220
169, 230, 221
170, 231, 222
171, 232, 224
172, 233, 225
173, 234, 226
174, 235, 227
175, 237, 228
176, 238, 229
177, 239, 230
178, 240, 232
179, 241, 233
180, 242, 234
181, 243, 235
182, 245, 236
183, 246, 237
184, 247, 238
185, 248, 240
186, 249, 241
187, 250, 242
188, 253, 253
189, 254, 254
190, 255, 255
191, 256, 256
192, 257, 258
193, 258, 259
194, 259, 260
195, 260, 261
196, 262, 262
197, 263, 263
198, 264, 264
199, 265, 265
200, 266, 267
201, 267, 268
202, 268, 269
203, 269, 270
204, 271, 271
205, 272, 272
206, 273, 273
207, 274, 274
208, 275, 276
209, 276, 277
210, 277, 278
211, 278, 279
212, 280, 280
213, 281, 281
214, 282, 282
215, 283, 283
216, 284, 285
217, 285, 286
218, 286, 287
219, 287, 288
220, 289, 289
221, 290, 290
222, 291, 291
223, 292, 292
224, 293, 294
225, 294, 295
226, 295, 296
227, 296, 297
228, 298, 298
229, 299, 299
230, 300, 300
231, 301, 301
232, 302, 303
233, 303, 304
234, 304, 305
235, 305, 306
236, 307, 307
237, 308, 308
238, 309, 309
239, 310, 310
240, 311, 312
241, 312, 313
242, 313, 314
243, 314, 315
244, 316, 316
245, 317, 317
246, 318, 318
247, 319, 319
248, 320, 321
249, 321, 322
250, 322, 323
251, 323, 252
252, 403, 324
253, 325, 325
254, 326, 326
255, 327, 327
256, 328, 328
257, 329, 330
258, 330, 331
259, 331, 332
260, 332, 333
261, 333, 334
262, 335, 335
263, 336, 336
264, 337, 337
265, 338, 338
266, 339, 340
267, 340, 341
268, 341, 342
269, 342, 343
270, 343, 344
271, 345, 345
272, 346, 346
273, 347, 347
274, 348, 348
275, 349, 350
276, 350, 351
277, 351, 352
278, 352, 353
279, 353, 354
280, 355, 355
281, 356, 356
282, 357, 357
283, 358, 358
284, 359, 360
285, 360, 361
286, 361, 362
287, 362, 363
288, 363, 364
289, 365, 365
290, 366, 366
291, 367, 367
292, 368, 368
293, 369, 370
294, 370, 371
295, 371, 372
296, 372, 373
297, 373, 374
298, 375, 375
299, 376, 376
300, 377, 377
301, 378, 378
302, 379, 380
303, 380, 381
304, 381, 382
305, 382, 383
306, 383, 384
307, 385, 385
308, 386, 386
309, 387, 387
310, 388, 388
311, 389, 390
312, 390, 391
313, 391, 392
314, 392, 393
315, 393, 394
316, 395, 395
317, 396, 396
318, 397, 397
319, 398, 398
320, 399, 400
321, 400, 401
322, 401, 402
323, 402, 403
324, 405, 404
325, 405, 405
326, 406, 406
327, 407, 407
328, 408, 408
329, 409, 409
330, 410, 410
331, 411, 411
332, 412, 412
333, 413, 413
334, 414, 414
335, 415, 415
336, 416, 416
337, 417, 417
338, 418, 418
339, 419, 419
340, 420, 420
341, 421, 421
342, 422, 422
343, 423, 423
344, 424, 424
345, 425, 425
346, 426, 426
347, 427, 427
348, 428, 428
349, 429, 429
350, 430, 430
351, 431, 431
352, 432, 432
353, 433, 433
354, 434, 434
355, 435, 435
356, 436, 436
357, 437, 437
358, 438, 438
359, 439, 439
360, 440, 440
361, 441, 441
362, 442, 442
363, 443, 443
364, 444, 444
365, 445, 445
366, 446, 446
367, 447, 447
368, 448, 448
369, 449, 449
370, 450, 450
371, 451, 451
372, 452, 452
373, 453, 453
374, 454, 454
375, 455, 455
376, 456, 456
377, 457, 457
378, 458, 458
379, 459, 459
380, 460, 460
381, 461, 461
382, 462, 462
383, 463, 463
384, 465, 464
385, 465, 465
386, 466, 466
387, 467, 467
388, 468, 468
389, 469, 469
390, 470, 470
391, 471, 471
392, 472, 472
393, 473, 473
394, 474, 474
395, 475, 475
396, 476, 476
397, 477, 477
398, 478, 478
399, 479, 479
400, 480, 480
401, 481, 481
402, 482, 482
403, 404, 404
404, 559, 488
405, 484, 488
406, 485, 489
407, 486, 490
408, 487, 491
409, 488, 492
410, 489, 493
411, 490, 494
412, 491, 495
413, 492, 496
414, 493, 497
415, 494, 498
416, 495, 499
417, 496, 500
418, 497, 501
419, 498, 502
420, 498, 503
421, 499, 504
422, 500, 505
423, 501, 506
424, 502, 507
425, 503, 507
426, 504, 508
427, 505, 509
428, 506, 510
429, 507, 511
430, 508, 512
431, 509, 513
432, 510, 514
433, 511, 515
434, 512, 516
435, 513, 517
436, 514, 518
437, 515, 519
438, 516, 520
439, 517, 521
440, 517, 522
441, 518, 523
442, 519, 524
443, 520, 525
444, 521, 526
445, 522, 526
446, 523, 527
447, 524, 528
448, 525, 529
449, 526, 530
450, 527, 531
451, 528, 532
452, 529, 533
453, 530, 534
454, 531, 535
455, 532, 536
456, 533, 537
457, 534, 538
458, 535, 539
459, 536, 540
460, 536, 541
461, 537, 542
462, 538, 543
463, 539, 544
464, 540, 545
465, 541, 545
466, 542, 546
467, 543, 547
468, 544, 548
469, 545, 549
470, 546, 550
471, 547, 551
472, 548, 552
473, 549, 553
474, 550, 554
475, 551, 555
476, 552, 556
477, 553, 557
478, 554, 558
479, 555, 559
480, 555, 484
481, 556, 485
482, 557, 486
483, 558, 487
484, 560, 560
485, 561, 561
486, 562, 562
487, 563, 563
488, 564, 564
489, 565, 565
490, 566, 566
491, 567, 567
492, 568, 568
493, 569, 569
494, 570, 570
495, 571, 571
496, 572, 572
497, 573, 573
498, 574, 574
499, 575, 575
500, 576, 576
501, 577, 577
502, 578, 578
503, 579, 579
504, 580, 580
505, 581, 581
506, 582, 582
507, 583, 583
508, 584, 584
509, 585, 585
510, 586, 586
511, 587, 587
512, 588, 588
513, 589, 589
514, 590, 590
515, 591, 591
516, 592, 592
517, 593, 593
518, 594, 594
519, 595, 595
520, 596, 596
521, 597, 597
522, 598, 598
523, 599, 599
524, 600, 600
