east_phi,west_phi
0.07854,-0.47124
0.23562,-0.31416
0.39270,-0.15708
0.54978,0.00000
0.70686,0.15708
0.86394,0.31416
1.02102,0.47124
1.17810,0.62832
1.33518,0.78540
1.49226,0.94248
-1.49226,1.09956
-1.33518,1.25664
-1.17810,1.41372
-1.02102,1.57080
-0.86394,-1.41372
-0.70686,-1.25664
-0.54978,-1.09956
-0.39270,-0.94248
-0.23562,-0.78540
-0.07854,-0.62832
0.07854,-0.47124
0.23562,-0.31416
0.39270,-0.15708
0.54978,0.00000
0.70686,0.15708
0.86394,0.31416
1.02102,0.47124
1.17810,0.62832
1.33518,0.78540
1.49226,0.94248
-1.49226,1.09956
-1.33518,1.25664
-1.17810,1.41372
-1.02102,1.57080
-0.86394,-1.41372
-0.70686,-1.25664
-0.54978,-1.09956
-0.39270,-0.94248
-0.23562,-0.78540
-0.07854,-0.62832
0.00000,-0.49980
0.14280,-0.35700
0.28560,-0.21420
0.42840,-0.07140
0.57120,0.07140
0.71400,0.21420
0.85680,0.35700
0.99960,0.49980
1.14240,0.64260
1.28520,0.78540
1.42800,0.92820
1.57080,1.07100
-1.42800,1.21380
-1.28520,1.35660
-1.14240,1.49940
-0.99960,-1.49940
-0.85680,-1.35660
-0.71400,-1.21380
-0.57120,-1.07100
-0.42840,-0.92820
-0.28560,-0.78540
-0.14280,-0.64260
0.00000,-0.49980
0.14280,-0.35700
0.28560,-0.21420
0.42840,-0.07140
0.57120,0.07140
0.71400,0.21420
0.85680,0.35700
0.99960,0.49980
1.14240,0.64260
1.28520,0.78540
1.42800,0.92820
1.57080,1.07100
-1.42800,1.21380
-1.28520,1.35660
-1.14240,1.49940
-0.99960,-1.49940
-0.85680,-1.35660
-0.71400,-1.21380
-0.57120,-1.07100
-0.42840,-0.92820
-0.28560,-0.78540
-0.14280,-0.64260
0.06545,-0.39270
0.19635,-0.26180
0.32725,-0.13090
0.45815,0.00000
0.58905,0.13090
0.71995,0.26180
0.85085,0.39270
0.98175,0.52360
1.11265,0.65450
1.24355,0.78540
1.37445,0.91630
1.50535,1.04720
-1.50535,1.17810
-1.37445,1.30900
-1.24355,1.43990
-1.11265,1.57080
-0.98175,-1.43990
-0.85085,-1.30900
-0.71995,-1.17810
-0.58905,-1.04720
-0.45815,-0.91630
-0.32725,-0.78540
-0.19635,-0.65450
-0.06545,-0.52360
0.06545,-0.39270
0.19635,-0.26180
0.32725,-0.13090
0.45815,0.00000
0.58905,0.13090
0.71995,0.26180
0.85085,0.39270
0.98175,0.52360
1.11265,0.65450
1.24355,0.78540
1.37445,0.91630
1.50535,1.04720
-1.50535,1.17810
-1.37445,1.30900
-1.24355,1.43990
-1.11265,1.57080
-0.98175,-1.43990
-0.85085,-1.30900
-0.71995,-1.17810
-0.58905,-1.04720
-0.45815,-0.91630
-0.32725,-0.78540
-0.19635,-0.65450
-0.06545,-0.52360
0.00000,-0.39270
0.11220,-0.28050
0.22440,-0.16830
0.33660,-0.05610
0.44880,0.05610
0.56100,0.16830
0.67320,0.28050
0.78540,0.39270
0.89760,0.50490
1.00980,0.61710
1.12200,0.72930
1.23420,0.84150
1.34640,0.95370
1.45860,1.06590
1.57080,1.17810
-1.45860,1.29030
-1.34640,1.40250
-1.23420,1.51470
-1.12200,-1.51470
-1.00980,-1.40250
-0.89760,-1.29030
-0.78540,-1.17810
-0.67320,-1.06590
-0.56100,-0.95370
-0.44880,-0.84150
-0.33660,-0.72930
-0.22440,-0.61710
-0.11220,-0.50490
