east_phi,west_phi,east_r,west_r
0.07854,-0.47124,7.88500,7.88501
0.23562,-0.31416,7.88500,7.88500
0.39270,-0.15708,7.88500,7.88500
0.54978,0.00000,7.88500,7.88500
0.70686,0.15708,7.88500,7.88500
0.86394,0.31416,7.88500,7.88500
1.02102,0.47124,7.88500,7.88501
1.17810,0.62832,7.88500,7.88500
1.33518,0.78540,7.88500,7.88500
1.49226,0.94248,7.88500,7.88500
-1.49226,1.09956,7.88500,7.88501
-1.33518,1.25664,7.88500,7.88500
-1.17810,1.41372,7.88500,7.88500
-1.02102,1.57080,7.88500,7.88500
-0.86394,-1.41372,7.88500,7.88500
-0.70686,-1.25664,7.88500,7.88500
-0.54978,-1.09956,7.88500,7.88501
-0.39270,-0.94248,7.88500,7.88500
-0.23562,-0.78540,7.88500,7.88500
-0.07854,-0.62832,7.88500,7.88500
0.07854,-0.47124,7.88500,7.88501
0.23562,-0.31416,7.88500,7.88500
0.39270,-0.15708,7.88500,7.88500
0.54978,0.00000,7.88500,7.88500
0.70686,0.15708,7.88500,7.88500
0.86394,0.31416,7.88500,7.88500
1.02102,0.47124,7.88500,7.88501
1.17810,0.62832,7.88500,7.88500
1.33518,0.78540,7.88500,7.88500
1.49226,0.94248,7.88500,7.88500
-1.49226,1.09956,7.88500,7.88501
-1.33518,1.25664,7.88500,7.88500
-1.17810,1.41372,7.88500,7.88500
-1.02102,1.57080,7.88500,7.88500
-0.86394,-1.41372,7.88500,7.88500
-0.70686,-1.25664,7.88500,7.88500
-0.54978,-1.09956,7.88500,7.88501
-0.39270,-0.94248,7.88500,7.88500
-0.23562,-0.78540,7.88500,7.88500
-0.07854,-0.62832,7.88500,7.88500
0.00000,-0.49980,9.07000,9.07000
0.14280,-0.35700,9.07000,9.07000
0.28560,-0.21420,9.07000,9.07000
0.42840,-0.07140,9.07000,9.07000
0.57120,0.07140,9.07000,9.07000
0.71400,0.21420,9.07000,9.07000
0.85680,0.35700,9.07000,9.07000
0.99960,0.49980,9.07000,9.07000
1.14240,0.64260,9.07000,9.07000
1.28520,0.78540,9.07000,9.07000
1.42800,0.92820,9.07000,9.07000
1.57080,1.07100,9.07000,9.07000
-1.42800,1.21380,9.07000,9.07000
-1.28520,1.35660,9.07000,9.07000
-1.14240,1.49940,9.07000,9.07000
-0.99960,-1.49940,9.07000,9.07000
-0.85680,-1.35660,9.07000,9.07000
-0.71400,-1.21380,9.07000,9.07000
-0.57120,-1.07100,9.07000,9.07000
-0.42840,-0.92820,9.07000,9.07000
-0.28560,-0.78540,9.07000,9.07000
-0.14280,-0.64260,9.07000,9.07000
0.00000,-0.49980,9.07000,9.07000
0.14280,-0.35700,9.07000,9.07000
0.28560,-0.21420,9.07000,9.07000
0.42840,-0.07140,9.07000,9.07000
0.57120,0.07140,9.07000,9.07000
0.71400,0.21420,9.07000,9.07000
0.85680,0.35700,9.07000,9.07000
0.99960,0.49980,9.07000,9.07000
1.14240,0.64260,9.07000,9.07000
1.28520,0.78540,9.07000,9.07000
1.42800,0.92820,9.07000,9.07000
1.57080,1.07100,9.07000,9.07000
-1.42800,1.21380,9.07000,9.07000
-1.28520,1.35660,9.07000,9.07000
-1.14240,1.49940,9.07000,9.07000
-0.99960,-1.49940,9.07000,9.07000
-0.85680,-1.35660,9.07000,9.07000
-0.71400,-1.21380,9.07000,9.07000
-0.57120,-1.07100,9.07000,9.07000
-0.42840,-0.92820,9.07000,9.07000
-0.28560,-0.78540,9.07000,9.07000
-0.14280,-0.64260,9.07000,9.07000
0.06545,-0.39270,10.29003,10.29000
0.19635,-0.26180,10.29002,10.29000
0.32725,-0.13090,10.29000,10.29003
0.45815,0.00000,10.29000,10.29000
0.58905,0.13090,10.29000,10.29003
0.71995,0.26180,10.29000,10.29000
0.85085,0.39270,10.29000,10.29000
0.98175,0.52360,10.29000,10.29000
1.11265,0.65450,10.29000,10.29001
1.24355,0.78540,10.29000,10.29000
1.37445,0.91630,10.29002,10.29001
1.50535,1.04720,10.29003,10.29000
-1.50535,1.17810,10.29003,10.29000
-1.37445,1.30900,10.29002,10.29000
-1.24355,1.43990,10.29000,10.29003
-1.11265,1.57080,10.29000,10.29000
-0.98175,-1.43990,10.29000,10.29003
-0.85085,-1.30900,10.29000,10.29000
-0.71995,-1.17810,10.29000,10.29000
-0.58905,-1.04720,10.29000,10.29000
-0.45815,-0.91630,10.29000,10.29001
-0.32725,-0.78540,10.29000,10.29000
-0.19635,-0.65450,10.29002,10.29001
-0.06545,-0.52360,10.29003,10.29000
0.06545,-0.39270,10.29003,10.29000
0.19635,-0.26180,10.29002,10.29000
0.32725,-0.13090,10.29000,10.29003
0.45815,0.00000,10.29000,10.29000
0.58905,0.13090,10.29000,10.29003
0.71995,0.26180,10.29000,10.29000
0.85085,0.39270,10.29000,10.29000
0.98175,0.52360,10.29000,10.29000
1.11265,0.65450,10.29000,10.29001
1.24355,0.78540,10.29000,10.29000
1.37445,0.91630,10.29002,10.29001
1.50535,1.04720,10.29003,10.29000
-1.50535,1.17810,10.29003,10.29000
-1.37445,1.30900,10.29002,10.29000
-1.24355,1.43990,10.29000,10.29003
-1.11265,1.57080,10.29000,10.29000
-0.98175,-1.43990,10.29000,10.29003
-0.85085,-1.30900,10.29000,10.29000
-0.71995,-1.17810,10.29000,10.29000
-0.58905,-1.04720,10.29000,10.29000
-0.45815,-0.91630,10.29000,10.29001
-0.32725,-0.78540,10.29000,10.29000
-0.19635,-0.65450,10.29002,10.29001
-0.06545,-0.52360,10.29003,10.29000
0.00000,-0.39270,11.52500,11.52499
0.11220,-0.28050,11.52497,11.52503
0.22440,-0.16830,11.52496,11.52504
0.33660,-0.05610,11.52504,11.52503
0.44880,0.05610,11.52503,11.52503
0.56100,0.16830,11.52500,11.52504
0.67320,0.28050,11.52500,11.52503
0.78540,0.39270,11.52501,11.52499
0.89760,0.50490,11.52500,11.52496
1.00980,0.61710,11.52500,11.52500
1.12200,0.72930,11.52503,11.52500
1.23420,0.84150,11.52504,11.52500
1.34640,0.95370,11.52496,11.52500
1.45860,1.06590,11.52497,11.52496
1.57080,1.17810,11.52500,11.52499
-1.45860,1.29030,11.52497,11.52503
-1.34640,1.40250,11.52496,11.52504
-1.23420,1.51470,11.52504,11.52503
-1.12200,-1.51470,11.52503,11.52503
-1.00980,-1.40250,11.52500,11.52504
-0.89760,-1.29030,11.52500,11.52503
-0.78540,-1.17810,11.52501,11.52499
-0.67320,-1.06590,11.52500,11.52496
-0.56100,-0.95370,11.52500,11.52500
-0.44880,-0.84150,11.52503,11.52500
-0.33660,-0.72930,11.52504,11.52500
-0.22440,-0.61710,11.52496,11.52500
-0.11220,-0.50490,11.52497,11.52496
0.00000,-0.39270,11.52500,11.52499
0.11220,-0.28050,11.52497,11.52503
0.22440,-0.16830,11.52496,11.52504
0.33660,-0.05610,11.52504,11.52503
0.44880,0.05610,11.52503,11.52503
0.56100,0.16830,11.52500,11.52504
0.67320,0.28050,11.52500,11.52503
0.78540,0.39270,11.52501,11.52499
0.89760,0.50490,11.52500,11.52496
1.00980,0.61710,11.52500,11.52500
1.12200,0.72930,11.52503,11.52500
1.23420,0.84150,11.52504,11.52500
1.34640,0.95370,11.52496,11.52500
1.45860,1.06590,11.52497,11.52496
1.57080,1.17810,11.52500,11.52499
-1.45860,1.29030,11.52497,11.52503
-1.34640,1.40250,11.52496,11.52504
-1.23420,1.51470,11.52504,11.52503
-1.12200,-1.51470,11.52503,11.52503
-1.00980,-1.40250,11.52500,11.52504
-0.89760,-1.29030,11.52500,11.52503
-0.78540,-1.17810,11.52501,11.52499
-0.67320,-1.06590,11.52500,11.52496
-0.56100,-0.95370,11.52500,11.52500
-0.44880,-0.84150,11.52503,11.52500
-0.33660,-0.72930,11.52504,11.52500
-0.22440,-0.61710,11.52496,11.52500
-0.11220,-0.50490,11.52497,11.52496
0.04909,0.49088,12.72002,12.71997
0.14726,0.58905,12.71997,12.72000
0.24544,0.68722,12.72000,12.72000
0.34361,0.78540,12.71996,12.72000
0.44179,0.88357,12.71996,12.72000
0.53996,0.98175,12.71999,12.72000
0.63814,1.07992,12.72000,12.71997
0.73631,1.17810,12.72000,12.71995
0.83449,1.27627,12.72000,12.72002
0.93266,1.37445,12.72000,12.72001
1.03083,1.47262,12.71999,12.71995
1.12901,1.57080,12.71996,12.72000
1.22718,-1.47262,12.71996,12.71995
1.32536,-1.37445,12.72000,12.72001
1.42353,-1.27627,12.71997,12.72002
1.52171,-1.17810,12.72002,12.71995
-1.52171,-1.07992,12.72002,12.71997
-1.42353,-0.98175,12.71997,12.72000
-1.32536,-0.88357,12.72000,12.72000
-1.22718,-0.78540,12.71996,12.72000
-1.12901,-0.68722,12.71996,12.72000
-1.03083,-0.58905,12.71999,12.72000
-0.93266,-0.49088,12.72000,12.71997
-0.83449,-0.39270,12.72000,12.71995
-0.73631,-0.29452,12.72000,12.72002
-0.63814,-0.19635,12.72000,12.72001
-0.53996,-0.09818,12.71999,12.71995
-0.44179,0.00000,12.71996,12.72000
-0.34361,0.09818,12.71996,12.71995
-0.24544,0.19635,12.72000,12.72001
-0.14726,0.29452,12.71997,12.72002
-0.04909,0.39270,12.72002,12.71995
0.04909,0.49088,12.72002,12.71997
0.14726,0.58905,12.71997,12.72000
0.24544,0.68722,12.72000,12.72000
0.34361,0.78540,12.71996,12.72000
0.44179,0.88357,12.71996,12.72000
0.53996,0.98175,12.71999,12.72000
0.63814,1.07992,12.72000,12.71997
0.73631,1.17810,12.72000,12.71995
0.83449,1.27627,12.72000,12.72002
0.93266,1.37445,12.72000,12.72001
1.03083,1.47262,12.71999,12.71995
1.12901,1.57080,12.71996,12.72000
1.22718,-1.47262,12.71996,12.71995
1.32536,-1.37445,12.72000,12.72001
1.42353,-1.27627,12.71997,12.72002
1.52171,-1.17810,12.72002,12.71995
-1.52171,-1.07992,12.72002,12.71997
-1.42353,-0.98175,12.71997,12.72000
-1.32536,-0.88357,12.72000,12.72000
-1.22718,-0.78540,12.71996,12.72000
-1.12901,-0.68722,12.71996,12.72000
-1.03083,-0.58905,12.71999,12.72000
-0.93266,-0.49088,12.72000,12.71997
-0.83449,-0.39270,12.72000,12.71995
-0.73631,-0.29452,12.72000,12.72002
-0.63814,-0.19635,12.72000,12.72001
-0.53996,-0.09818,12.71999,12.71995
-0.44179,0.00000,12.71996,12.72000
-0.34361,0.09818,12.71996,12.71995
-0.24544,0.19635,12.72000,12.72001
-0.14726,0.29452,12.71997,12.72002
-0.04909,0.39270,12.72002,12.71995
0.00000,0.39270,13.87500,13.87497
0.08727,0.47996,13.87500,13.87502
0.17453,0.56723,13.87499,13.87504
0.26180,0.65450,13.87498,13.87501
0.34907,0.74177,13.87497,13.87498
0.43633,0.82903,13.87498,13.87498
0.52360,0.91630,13.87500,13.87501
0.61087,1.00357,13.87497,13.87504
0.69813,1.09083,13.87503,13.87502
0.78540,1.17810,13.87500,13.87497
0.87267,1.26536,13.87503,13.87498
0.95993,1.35263,13.87497,13.87499
1.04720,1.43990,13.87500,13.87500
1.13446,1.52716,13.87498,13.87501
1.22173,-1.52716,13.87497,13.87501
1.30900,-1.43990,13.87498,13.87500
1.39626,-1.35263,13.87499,13.87499
1.48353,-1.26536,13.87500,13.87498
1.57080,-1.17810,13.87500,13.87497
-1.48353,-1.09083,13.87500,13.87502
-1.39626,-1.00357,13.87499,13.87504
-1.30900,-0.91630,13.87498,13.87501
-1.22173,-0.82903,13.87497,13.87498
-1.13446,-0.74177,13.87498,13.87498
-1.04720,-0.65450,13.87500,13.87501
-0.95993,-0.56723,13.87497,13.87504
-0.87267,-0.47996,13.87503,13.87502
-0.78540,-0.39270,13.87500,13.87497
-0.69813,-0.30543,13.87503,13.87498
-0.61087,-0.21817,13.87497,13.87499
-0.52360,-0.13090,13.87500,13.87500
-0.43633,-0.04363,13.87498,13.87501
-0.34907,0.04363,13.87497,13.87501
-0.26180,0.13090,13.87498,13.87500
-0.17453,0.21817,13.87499,13.87499
-0.08727,0.30543,13.87500,13.87498
0.00000,0.39270,13.87500,13.87497
0.08727,0.47996,13.87500,13.87502
0.17453,0.56723,13.87499,13.87504
0.26180,0.65450,13.87498,13.87501
0.34907,0.74177,13.87497,13.87498
0.43633,0.82903,13.87498,13.87498
0.52360,0.91630,13.87500,13.87501
0.61087,1.00357,13.87497,13.87504
0.69813,1.09083,13.87503,13.87502
0.78540,1.17810,13.87500,13.87497
0.87267,1.26536,13.87503,13.87498
0.95993,1.35263,13.87497,13.87499
1.04720,1.43990,13.87500,13.87500
1.13446,1.52716,13.87498,13.87501
1.22173,-1.52716,13.87497,13.87501
1.30900,-1.43990,13.87498,13.87500
1.39626,-1.35263,13.87499,13.87499
1.48353,-1.26536,13.87500,13.87498
1.57080,-1.17810,13.87500,13.87497
-1.48353,-1.09083,13.87500,13.87502
-1.39626,-1.00357,13.87499,13.87504
-1.30900,-0.91630,13.87498,13.87501
-1.22173,-0.82903,13.87497,13.87498
-1.13446,-0.74177,13.87498,13.87498
-1.04720,-0.65450,13.87500,13.87501
-0.95993,-0.56723,13.87497,13.87504
-0.87267,-0.47996,13.87503,13.87502
-0.78540,-0.39270,13.87500,13.87497
-0.69813,-0.30543,13.87503,13.87498
-0.61087,-0.21817,13.87497,13.87499
-0.52360,-0.13090,13.87500,13.87500
-0.43633,-0.04363,13.87498,13.87501
-0.34907,0.04363,13.87497,13.87501
-0.26180,0.13090,13.87498,13.87500
-0.17453,0.21817,13.87499,13.87499
-0.08727,0.30543,13.87500,13.87498
0.03927,0.39270,15.00997,15.00997
0.11781,0.47124,15.01004,15.00999
0.19635,0.54978,15.01001,15.00997
0.27489,0.62832,15.01004,15.00997
0.35343,0.70686,15.01005,15.01001
0.43197,0.78540,15.00997,15.01004
0.51051,0.86394,15.01003,15.01001
0.58905,0.94248,15.01003,15.00997
0.66759,1.02102,15.00999,15.00997
0.74613,1.09956,15.01001,15.00999
0.82467,1.17810,15.01001,15.00997
0.90321,1.25664,15.00999,15.01004
0.98175,1.33518,15.01003,15.01003
1.06029,1.41372,15.01003,15.01000
1.13883,1.49226,15.00997,15.00997
1.21737,1.57080,15.01005,15.01000
1.29591,-1.49226,15.01004,15.00997
1.37445,-1.41372,15.01001,15.01000
1.45299,-1.33518,15.01004,15.01003
1.53153,-1.25664,15.00997,15.01004
-1.53153,-1.17810,15.00997,15.00997
-1.45299,-1.09956,15.01004,15.00999
-1.37445,-1.02102,15.01001,15.00997
-1.29591,-0.94248,15.01004,15.00997
-1.21737,-0.86394,15.01005,15.01001
-1.13883,-0.78540,15.00997,15.01004
-1.06029,-0.70686,15.01003,15.01001
-0.98175,-0.62832,15.01003,15.00997
-0.90321,-0.54978,15.00999,15.00997
-0.82467,-0.47124,15.01001,15.00999
-0.74613,-0.39270,15.01001,15.00997
-0.66759,-0.31416,15.00999,15.01004
-0.58905,-0.23562,15.01003,15.01003
-0.51051,-0.15708,15.01003,15.01000
-0.43197,-0.07854,15.00997,15.00997
-0.35343,0.00000,15.01005,15.01000
-0.27489,0.07854,15.01004,15.00997
-0.19635,0.15708,15.01001,15.01000
-0.11781,0.23562,15.01004,15.01003
-0.03927,0.31416,15.00997,15.01004
0.03927,0.39270,15.00997,15.00997
0.11781,0.47124,15.01004,15.00999
0.19635,0.54978,15.01001,15.00997
0.27489,0.62832,15.01004,15.00997
0.35343,0.70686,15.01005,15.01001
0.43197,0.78540,15.00997,15.01004
0.51051,0.86394,15.01003,15.01001
0.58905,0.94248,15.01003,15.00997
0.66759,1.02102,15.00999,15.00997
0.74613,1.09956,15.01001,15.00999
0.82467,1.17810,15.01001,15.00997
0.90321,1.25664,15.00999,15.01004
0.98175,1.33518,15.01003,15.01003
1.06029,1.41372,15.01003,15.01000
1.13883,1.49226,15.00997,15.00997
1.21737,1.57080,15.01005,15.01000
1.29591,-1.49226,15.01004,15.00997
1.37445,-1.41372,15.01001,15.01000
1.45299,-1.33518,15.01004,15.01003
1.53153,-1.25664,15.00997,15.01004
-1.53153,-1.17810,15.00997,15.00997
-1.45299,-1.09956,15.01004,15.00999
-1.37445,-1.02102,15.01001,15.00997
-1.29591,-0.94248,15.01004,15.00997
-1.21737,-0.86394,15.01005,15.01001
-1.13883,-0.78540,15.00997,15.01004
-1.06029,-0.70686,15.01003,15.01001
-0.98175,-0.62832,15.01003,15.00997
-0.90321,-0.54978,15.00999,15.00997
-0.82467,-0.47124,15.01001,15.00999
-0.74613,-0.39270,15.01001,15.00997
-0.66759,-0.31416,15.00999,15.01004
-0.58905,-0.23562,15.01003,15.01003
-0.51051,-0.15708,15.01003,15.01000
-0.43197,-0.07854,15.00997,15.00997
-0.35343,0.00000,15.01005,15.01000
-0.27489,0.07854,15.01004,15.00997
-0.19635,0.15708,15.01001,15.01000
-0.11781,0.23562,15.01004,15.01003
-0.03927,0.31416,15.00997,15.01004
0.00000,0.35343,16.16000,16.16003
0.07854,0.43197,16.16002,16.16001
0.15708,0.51051,16.15996,16.15997
0.23562,0.58905,16.16000,16.15996
0.31416,0.66759,16.16002,16.16001
0.39270,0.74613,16.16000,16.16002
0.47124,0.82467,16.16003,16.16002
0.54978,0.90321,16.16003,16.16001
0.62832,0.98175,16.15999,16.15996
0.70686,1.06029,16.16004,16.15997
0.78540,1.13883,16.15994,16.16001
0.86394,1.21737,16.16004,16.16003
0.94248,1.29591,16.15999,16.16002
1.02102,1.37445,16.16003,16.16001
1.09956,1.45299,16.16003,16.16001
1.17810,1.53153,16.16000,16.15996
1.25664,-1.53153,16.16002,16.15996
1.33518,-1.45299,16.16000,16.16001
1.41372,-1.37445,16.15996,16.16001
1.49226,-1.29591,16.16002,16.16002
1.57080,-1.21737,16.16000,16.16003
-1.49226,-1.13883,16.16002,16.16001
-1.41372,-1.06029,16.15996,16.15997
-1.33518,-0.98175,16.16000,16.15996
-1.25664,-0.90321,16.16002,16.16001
-1.17810,-0.82467,16.16000,16.16002
-1.09956,-0.74613,16.16003,16.16002
-1.02102,-0.66759,16.16003,16.16001
-0.94248,-0.58905,16.15999,16.15996
-0.86394,-0.51051,16.16004,16.15997
-0.78540,-0.43197,16.15994,16.16001
-0.70686,-0.35343,16.16004,16.16003
-0.62832,-0.27489,16.15999,16.16002
-0.54978,-0.19635,16.16003,16.16001
-0.47124,-0.11781,16.16003,16.16001
-0.39270,-0.03927,16.16000,16.15996
-0.31416,0.03927,16.16002,16.15996
-0.23562,0.11781,16.16000,16.16001
-0.15708,0.19635,16.15996,16.16001
-0.07854,0.27489,16.16002,16.16002
0.00000,0.35343,16.16000,16.16003
0.07854,0.43197,16.16002,16.16001
0.15708,0.51051,16.15996,16.15997
0.23562,0.58905,16.16000,16.15996
0.31416,0.66759,16.16002,16.16001
0.39270,0.74613,16.16000,16.16002
0.47124,0.82467,16.16003,16.16002
0.54978,0.90321,16.16003,16.16001
0.62832,0.98175,16.15999,16.15996
0.70686,1.06029,16.16004,16.15997
0.78540,1.13883,16.15994,16.16001
0.86394,1.21737,16.16004,16.16003
0.94248,1.29591,16.15999,16.16002
1.02102,1.37445,16.16003,16.16001
1.09956,1.45299,16.16003,16.16001
1.17810,1.53153,16.16000,16.15996
1.25664,-1.53153,16.16002,16.15996
1.33518,-1.45299,16.16000,16.16001
1.41372,-1.37445,16.15996,16.16001
1.49226,-1.29591,16.16002,16.16002
1.57080,-1.21737,16.16000,16.16003
-1.49226,-1.13883,16.16002,16.16001
-1.41372,-1.06029,16.15996,16.15997
-1.33518,-0.98175,16.16000,16.15996
-1.25664,-0.90321,16.16002,16.16001
-1.17810,-0.82467,16.16000,16.16002
-1.09956,-0.74613,16.16003,16.16002
-1.02102,-0.66759,16.16003,16.16001
-0.94248,-0.58905,16.15999,16.15996
-0.86394,-0.51051,16.16004,16.15997
-0.78540,-0.43197,16.15994,16.16001
-0.70686,-0.35343,16.16004,16.16003
-0.62832,-0.27489,16.15999,16.16002
-0.54978,-0.19635,16.16003,16.16001
-0.47124,-0.11781,16.16003,16.16001
-0.39270,-0.03927,16.16000,16.15996
-0.31416,0.03927,16.16002,16.15996
-0.23562,0.11781,16.16000,16.16001
-0.15708,0.19635,16.15996,16.16001
-0.07854,0.27489,16.16002,16.16002
0.06193,0.06193,19.69997,19.69997
0.14460,0.14460,19.70001,19.70001
0.22728,0.22728,19.70002,19.70002
0.30995,0.30995,19.70004,19.70004
